Date ,Price ,Open ,High ,Low ,Volume ,Chg% 
24-Aug-17,452.5,451.43,455.52,447.64,42.38M,2.17%
28-Aug-17,466.81,468.27,473.23,465.32,40.71M,3.16%
29-Aug-17,460.09,467.03,467.31,459.14,13.37M,-1.44%
30-Aug-17,459.69,464.92,465.82,458.43,16.15M,-0.09%
31-Aug-17,453.89,460.76,460.83,452.87,15.02M,-1.26%
01-Sep-17,456.37,454.38,459.32,451.43,8.43M,0.55%
04-Sep-17,446.57,456.89,456.94,443.25,10.18M,-2.15%
05-Sep-17,447.41,447.46,448.95,445.11,9.78M,0.19%
06-Sep-17,444.29,446.47,446.62,441.51,7.74M,-0.70%
07-Sep-17,444.36,446.47,446.72,442.68,6.24M,0.02%
08-Sep-17,438.68,445.97,445.97,437.59,8.60M,-1.28%
11-Sep-17,435.9,441.71,442.4,433.4,13.79M,-0.63%
12-Sep-17,438.56,437.81,440.39,435.95,17.24M,0.61%
13-Sep-17,438.41,439.28,440.32,437.04,11.48M,-0.03%
14-Sep-17,442.7,438.78,444.78,437.34,13.70M,0.98%
15-Sep-17,450.56,442.65,453.04,442.6,13.46M,1.78%
18-Sep-17,450.98,451.43,455.28,449.6,8.48M,0.09%
19-Sep-17,452.55,450.44,454.41,448.21,6.03M,0.35%
20-Sep-17,452.77,454.9,454.9,450.17,5.77M,0.05%
21-Sep-17,451.21,453.91,454.04,450.51,8.20M,-0.34%
22-Sep-17,445.63,450.51,451.55,440.52,17.60M,-1.24%
25-Sep-17,444.16,446.97,447.44,441.06,9.09M,-0.33%
26-Sep-17,449.4,444.98,450.64,443.64,7.37M,1.18%
27-Sep-17,446.37,449.5,450.39,444.04,6.00M,-0.67%
28-Sep-17,444.49,444.54,448.4,443.64,17.54M,-0.42%
29-Sep-17,446.42,445.48,447.66,443.99,5.71M,0.43%
03-Oct-17,448.23,451.48,452.42,447.26,4.95M,0.41%
04-Oct-17,446.27,447.96,449.15,445.06,4.99M,-0.44%
05-Oct-17,447.98,446.47,448.93,445.97,8.61M,0.38%
06-Oct-17,456.47,448.45,457.38,448.43,8.57M,1.90%
09-Oct-17,458.33,456.39,460.86,453.42,3.50M,0.41%
10-Oct-17,464.06,466.29,466.29,461.13,7.14M,1.25%
11-Oct-17,461.7,464.06,465.32,460.36,5.98M,-0.51%
12-Oct-17,460.01,461.35,463.51,456.17,10.28M,-0.37%
13-Oct-17,461.4,462.74,463.09,460.14,7.18M,0.30%
16-Oct-17,465.82,464.3,467.31,462.84,5.76M,0.96%
17-Oct-17,461.6,464.73,464.73,461.1,5.63M,-0.91%
18-Oct-17,458.55,460.81,461.35,457.86,7.23M,-0.66%
19-Oct-17,459.84,461.35,462.34,458.97,1.09M,0.28%
23-Oct-17,466.07,461.35,467.31,460.41,9.15M,1.35%
24-Oct-17,459.62,469.29,469.61,457.19,14.53M,-1.38%
25-Oct-17,463.98,455.9,468.64,454.04,13.98M,0.95%
26-Oct-17,469.96,467.31,472.17,466.36,33.66M,1.29%
27-Oct-17,469.46,473.75,475.09,468.3,8.52M,-0.11%
30-Oct-17,468.35,473.58,473.58,466.83,12.97M,-0.24%
31-Oct-17,457.31,458.87,461.35,456.39,9.95M,-2.36%
01-Nov-17,459.89,458.87,461.05,458.03,5.63M,0.56%
02-Nov-17,457.83,457.9,459.37,456.39,4.69M,-0.45%
03-Nov-17,459.69,454.9,461.3,454.88,3.70M,0.41%
06-Nov-17,460.71,457.95,463.83,457.71,5.07M,0.22%
07-Nov-17,474,459.49,476.23,459.29,13.44M,2.88%
08-Nov-17,472.42,476.36,477.15,470.03,5.37M,-0.33%
09-Nov-17,473.51,472.76,477.72,470.41,4.72M,0.23%
10-Nov-17,477.25,475.64,478.39,471.27,6.59M,0.79%
13-Nov-17,472.24,477.25,480.9,470.95,5.02M,-1.05%
14-Nov-17,470.83,472.24,473.68,467.93,5.73M,-0.30%
15-Nov-17,472.17,468.87,473.01,468.55,7.02M,0.28%
16-Nov-17,490.32,472.17,494.04,470.53,15.69M,3.84%
17-Nov-17,481.67,488.88,488.88,478.79,8.06M,-1.76%
20-Nov-17,476.51,480.7,481.69,474.87,5.66M,-1.07%
21-Nov-17,479.34,476.88,481.94,476.26,5.36M,0.59%
22-Nov-17,479.36,479.51,481.72,477.87,6.08M,0.00%
23-Nov-17,491.74,481.94,493.32,480.7,11.89M,2.58%
24-Nov-17,500.82,491.56,505.65,491.22,18.62M,1.85%
27-Nov-17,495.46,499.4,499.4,492.75,6.02M,-1.07%
